frameIndex,coord,centroid
19,"[(194.4084, 272.0686), (315.04068, 245.59154), (149.9558, 190.23671), (109.362, 318.71515), (33.847637, 219.68117), (220.16452, 66.05698), (135.45699, 388.8983), (66.712555, 177.35684), (45.527905, 14.008151), (114.41401, 176.36632)]","(138.48904969999998, 206.8979761)"
20,"[(195.15411, 269.25266), (312.68796, 245.08443), (152.12561, 189.54796), (111.693375, 319.80402), (33.82105, 219.32253), (220.86646, 64.55984), (136.64316, 388.4684), (65.60711, 176.84856), (45.960636, 14.234158), (112.25118, 176.92473)]","(138.6810651, 206.4047288)"
21,"[(196.46382, 266.4168), (311.9084, 244.2287), (154.70595, 189.0344), (114.09534, 321.00876), (34.05633, 219.34961), (221.28235, 63.401546), (137.23145, 387.83395), (64.43304, 176.41002), (46.257484, 14.434418), (111.19077, 178.54305)]","(139.1624934, 206.0661254)"
22,"[(198.94527, 264.38065), (311.4685, 242.44966), (156.33948, 187.51596), (116.36221, 321.95486), (34.223312, 219.50214), (221.27022, 62.06591), (138.24948, 387.53305), (62.232613, 175.47281), (46.957397, 15.201994), (109.05679, 179.83061)]","(139.51052719999998, 205.59076440000004)"
23,"[(201.51083, 262.0147), (310.5905, 240.44376), (156.4378, 184.69145), (119.44429, 323.57883), (34.17411, 219.20837), (221.2424, 61.13739), (139.77632, 388.08063), (59.407303, 175.35358), (47.361683, 15.551945), (107.90691, 181.58868)]","(139.7852146, 205.16493350000002)"
24,"[(204.65973, 261.56226), (309.1047, 238.46498), (155.17737, 181.92233), (121.11475, 324.16736), (34.823418, 219.56993), (221.5052, 59.51638), (141.17513, 388.37274), (56.596752, 176.31093), (47.639374, 15.739105), (106.61495, 182.90553)]","(139.84113739999998, 204.8531545)"
25,"[(207.4685, 260.3376), (307.30545, 236.24052), (155.1446, 180.95615), (122.80825, 324.29166), (35.02733, 219.2126), (221.84448, 57.5844), (142.92114, 388.75208), (55.05992, 178.8778), (47.998775, 16.106628), (105.75883, 184.30466)]","(140.1337275, 204.6664098)"
26,"[(209.21638, 258.5644), (305.03207, 232.54823), (155.23515, 180.2508), (124.07949, 323.85373), (34.7037, 218.32617), (222.48138, 55.384678), (144.72151, 388.89572), (53.15162, 179.30922), (47.991352, 15.95177), (105.0326, 185.39468)]","(140.1645252, 203.8479398)"
27,"[(210.64726, 257.38397), (303.53937, 230.21002), (156.0746, 180.93234), (125.22292, 323.3226), (34.449894, 217.66115), (223.25883, 53.521976), (146.24142, 388.8189), (51.407654, 179.90988), (48.430614, 16.423374), (103.59517, 185.75194)]","(140.28677320000003, 203.39361499999995)"
28,"[(211.64204, 256.20303), (302.95682, 229.34851), (159.4285, 185.16034), (126.42498, 322.4373), (33.98647, 216.88487), (223.76826, 51.89851), (147.43199, 388.34406), (51.543705, 180.67789), (48.35719, 16.261232), (101.70148, 186.71881)]","(140.72414350000003, 203.3934552)"
