frameIndex,coord,centroid
1985,"[(18.131712, 233.0694), (80.97917, 249.20152), (18.820616, 14.573923), (86.09152, 197.28987), (126.318146, 237.8353), (45.028572, 302.6239), (139.17139, 337.98422), (130.92645, 175.83992), (350.72852, 251.61784)]","(110.68845511111111, 222.2262103333333)"
1986,"[(18.462002, 233.47769), (80.57519, 247.69334), (18.538149, 14.479397), (86.49435, 197.5488), (127.03539, 237.61383), (45.034374, 302.61227), (140.10878, 338.7156), (131.1255, 176.10306), (350.38034, 251.71991)]","(110.8615638888889, 222.21821077777776)"
1987,"[(19.026875, 234.12984), (80.48879, 246.64095), (18.497116, 14.602625), (86.028046, 196.65442), (127.13234, 237.00827), (44.99886, 302.2595), (141.06897, 339.41055), (131.90074, 176.97185), (350.0987, 251.48994)]","(111.02671522222222, 222.12977166666667)"
1988,"[(19.341564, 234.54393), (80.88154, 246.35849), (18.509035, 14.8472), (85.94498, 196.27596), (127.57701, 236.35709), (45.188007, 302.2761), (141.90997, 339.99258), (132.47585, 177.28323), (349.7143, 251.29059)]","(111.28247288888889, 222.13613)"
1989,"[(19.424767, 234.63022), (81.212456, 245.9721), (18.432652, 14.797655), (86.66625, 196.74663), (127.84471, 234.7497), (45.36501, 302.10977), (142.4107, 340.2453), (132.81812, 177.12906), (349.36725, 251.19974)]","(111.50465722222222, 221.95335277777778)"
1990,"[(19.370792, 234.9974), (81.37783, 245.39304), (18.009733, 14.157794), (86.87314, 196.78436), (128.24977, 233.60606), (45.550785, 302.16388), (142.7023, 340.4605), (132.27927, 175.99573), (349.02414, 250.88705)]","(111.49308444444445, 221.6050904444445)"
1991,"[(19.132782, 235.06125), (82.034935, 245.53119), (18.023788, 14.112429), (87.276276, 197.07129), (128.67331, 232.49257), (46.05947, 302.3369), (142.96404, 340.473), (133.03804, 176.36598), (348.43906, 250.45937)]","(111.73796677777779, 221.54488655555556)"
1992,"[(19.156618, 235.20958), (82.36101, 245.45737), (17.755976, 13.758145), (87.60093, 197.20668), (128.85356, 231.76894), (46.47156, 302.4468), (143.2246, 340.46982), (133.92033, 177.02592), (348.15573, 251.04071)]","(111.94447933333335, 221.59821833333334)"
1993,"[(19.23981, 235.37209), (82.58876, 245.23514), (17.463015, 13.365706), (88.398346, 197.04028), (129.03133, 231.33615), (46.31905, 302.25552), (143.24203, 340.33072), (134.32428, 177.10448), (348.13776, 252.71487)]","(112.08270900000002, 221.63943955555553)"
1994,"[(19.176125, 235.39209), (82.85765, 245.00948), (17.523731, 13.474768), (88.55755, 196.37654), (129.13828, 231.11975), (46.287567, 302.19302), (143.3368, 340.29404), (134.86778, 177.23907), (347.8055, 252.54057)]","(112.17233144444445, 221.5154808888889)"
1995,"[(18.675844, 235.0512), (83.01245, 244.68703), (17.571232, 13.532969), (88.21054, 195.26086), (128.78271, 230.44913), (45.996067, 301.97604), (143.40268, 340.24503), (135.31306, 177.24939), (347.39972, 252.56712)]","(112.0404781111111, 221.22430766666668)"
1996,"[(18.38771, 234.89847), (83.471664, 244.72552), (17.677761, 13.592497), (88.153915, 194.3041), (128.65254, 229.35905), (46.083412, 301.99432), (143.29565, 340.08682), (135.78726, 177.0978), (347.40747, 254.08359)]","(112.10193133333333, 221.12690744444444)"
1997,"[(18.356339, 235.0908), (83.84508, 244.63869), (17.69403, 13.608597), (89.516205, 194.5657), (128.60611, 227.53006), (46.302753, 302.20132), (143.24315, 340.00522), (135.99474, 176.39218), (346.91742, 255.03766)]","(112.27509188888888, 221.007803)"
1998,"[(18.107338, 235.22945), (84.04377, 244.65001), (17.69054, 13.5822115), (90.48632, 194.76324), (128.45195, 226.2858), (46.20109, 302.1109), (143.25269, 340.0368), (136.11308, 175.71164), (346.08008, 255.39246)]","(112.26965088888889, 220.8625012777778)"
1999,"[(18.182062, 235.65605), (84.01424, 244.52296), (17.680069, 13.559474), (90.38091, 193.88531), (128.91707, 225.2897), (46.14116, 302.07303), (143.22202, 340.05087), (136.2591, 175.29578), (345.20914, 255.27527)]","(112.22286344444443, 220.62316044444447)"
2000,"[(18.303421, 236.1602), (83.86123, 244.4129), (17.372654, 13.189637), (91.381134, 194.5887), (129.05066, 224.22078), (45.848663, 301.88937), (142.78746, 339.7621), (136.67047, 175.1613), (344.67252, 255.45335)]","(112.216468, 220.537593)"
2001,"[(18.554611, 236.49948), (83.8189, 244.58282), (17.442156, 13.309506), (91.06632, 193.82811), (129.13515, 223.72966), (45.90537, 301.78088), (142.63455, 339.65613), (138.16167, 176.65112), (344.3825, 255.65685)]","(112.34458077777776, 220.63272844444447)"
2002,"[(18.762995, 236.73344), (83.956154, 245.1664), (17.569298, 13.493718), (90.63964, 193.02301), (129.3321, 223.4256), (46.61341, 301.9717), (142.56143, 339.63074), (139.20926, 177.5124), (344.15344, 255.9766)]","(112.53308077777777, 220.77040088888893)"
2003,"[(18.98943, 236.76729), (83.92506, 245.65422), (17.71428, 13.698162), (90.703026, 192.89064), (129.19466, 222.48518), (46.907833, 301.93112), (142.49583, 339.56857), (140.42172, 178.21638), (344.0235, 256.5009)]","(112.708371, 220.85694022222225)"
2004,"[(18.96101, 236.70105), (83.750656, 245.72737), (17.808851, 13.838488), (90.48593, 192.44746), (129.78502, 222.29932), (46.773865, 301.41284), (142.4097, 339.5228), (141.25488, 178.54628), (343.7775, 256.64835)]","(112.77860133333333, 220.7937731111111)"
2005,"[(18.939386, 236.57445), (83.601585, 245.88786), (17.754333, 13.738758), (90.449905, 192.33017), (129.80759, 221.32478), (46.875698, 301.1172), (142.45346, 339.54993), (142.34953, 179.285), (343.61008, 256.77426)]","(112.87128522222221, 220.7313786666667)"
2006,"[(19.04431, 236.58829), (83.23343, 246.27907), (17.690887, 13.596706), (90.734375, 192.23251), (129.6052, 220.40526), (47.683384, 301.25955), (142.52696, 339.66562), (143.56369, 180.23517), (343.44012, 256.81702)]","(113.05803955555555, 220.78657733333333)"
2007,"[(19.163803, 236.58037), (82.772644, 246.89897), (17.55584, 13.300296), (90.60812, 191.73059), (129.59497, 219.80598), (48.499348, 301.39267), (142.57883, 339.7684), (144.12874, 180.61784), (343.2976, 257.01498)]","(113.13332166666666, 220.79001066666666)"
2008,"[(19.085394, 236.33919), (82.55475, 246.76906), (17.57757, 13.095885), (90.44096, 190.8346), (129.45465, 219.2079), (49.05595, 301.365), (142.59941, 339.86313), (141.98396, 177.87245), (343.23016, 257.0703)]","(112.88697822222223, 220.26861277777778)"
2009,"[(19.322332, 236.49484), (82.255066, 247.5669), (17.874046, 13.258784), (90.98326, 190.90445), (128.93344, 218.18416), (49.452232, 301.23828), (142.61382, 340.00354), (143.1934, 179.18698), (343.0534, 257.0918)]","(113.07566622222222, 220.43663711111108)"
2010,"[(19.857426, 236.61937), (82.523094, 247.67874), (18.108515, 13.274483), (91.63534, 191.0907), (128.29828, 217.03346), (49.707626, 301.1447), (142.5996, 340.13196), (143.2837, 179.30397), (342.7614, 257.02902)]","(113.19722011111111, 220.3673781111111)"
2011,"[(19.859243, 236.77611), (82.86585, 247.43274), (18.422962, 13.5026865), (91.65328, 190.83636), (127.45611, 215.32285), (50.05342, 301.1945), (142.59023, 340.2564), (143.63408, 179.59921), (342.523, 257.2052)]","(113.22868611111112, 220.23622850000004)"
2012,"[(19.643759, 237.03596), (83.07191, 247.20216), (18.4736, 13.392552), (91.69308, 190.56639), (126.505646, 213.60661), (50.332893, 301.16864), (142.5352, 340.3273), (143.60333, 179.21344), (342.25378, 257.25168)]","(113.12368866666667, 219.9738591111111)"
2013,"[(19.419455, 237.10901), (83.292274, 248.05441), (18.708195, 13.617939), (91.86187, 190.69121), (126.46514, 213.01883), (50.632008, 301.1997), (142.26215, 340.19714), (143.61462, 178.82072), (341.92606, 257.1735)]","(113.13130799999999, 219.98693988888888)"
2014,"[(19.00556, 237.01381), (83.552086, 249.49603), (18.819908, 13.626077), (92.09048, 190.64467), (127.24588, 213.27565), (50.6831, 301.0283), (142.1972, 340.2288), (143.9111, 178.64722), (341.69904, 257.43317)]","(113.24492822222221, 220.15485855555556)"
2015,"[(18.944698, 237.1076), (84.542244, 250.81294), (18.629305, 13.196159), (91.88236, 190.0822), (127.71411, 213.14174), (50.667896, 300.79895), (142.17972, 340.24457), (143.99355, 178.16878), (341.55133, 257.73224)]","(113.34502366666668, 220.14279766666667)"
2016,"[(18.884174, 237.09087), (85.88884, 250.35443), (18.436777, 12.769868), (92.18152, 190.14853), (128.03778, 212.77887), (50.73139, 300.5166), (141.71078, 339.95346), (144.22144, 177.99194), (341.35272, 257.74658)]","(113.49393566666667, 219.9279053333333)"
2017,"[(18.859228, 237.05214), (86.260155, 249.77867), (18.276182, 12.378286), (92.73787, 190.45459), (128.37985, 211.73386), (51.013737, 300.3391), (140.28717, 338.8271), (144.70432, 178.1499), (341.1557, 257.65817)]","(113.51935688888891, 219.59686844444445)"
2018,"[(18.728146, 236.89227), (86.10237, 249.33968), (18.545732, 12.690702), (92.98463, 190.46938), (128.20476, 210.7362), (51.446354, 300.25467), (139.59366, 338.31122), (145.12062, 178.48135), (340.95288, 257.39267)]","(113.51990577777777, 219.39646022222223)"
2019,"[(18.832264, 236.98865), (86.285416, 249.17944), (19.093662, 13.100088), (93.157005, 190.34389), (128.62178, 210.29332), (51.563213, 300.1208), (138.55367, 337.41907), (145.6276, 178.35849), (340.89615, 257.44455)]","(113.62564, 219.24981088888887)"
2020,"[(18.936426, 237.13928), (86.29761, 249.44304), (19.165808, 12.951645), (93.11761, 190.22635), (128.55658, 209.84563), (51.690628, 300.09723), (136.98604, 336.05444), (145.98381, 178.24985), (340.9417, 257.6617)]","(113.51957911111111, 219.07435166666664)"
2021,"[(18.64948, 237.04402), (86.51644, 249.59915), (19.082188, 12.67589), (93.210304, 190.40572), (128.62146, 209.20984), (51.841656, 300.08694), (135.79083, 335.10703), (146.39792, 178.53162), (340.97275, 257.73334)]","(113.45366977777778, 218.9326166666667)"
2022,"[(18.32279, 236.94992), (86.34138, 249.65715), (19.03893, 12.402276), (93.38321, 190.6653), (128.78484, 208.6764), (51.8145, 299.9918), (135.35486, 334.76382), (146.26175, 179.00615), (341.0113, 257.6831)]","(113.36817333333335, 218.8662128888889)"
2023,"[(18.259367, 237.0404), (86.44353, 249.85988), (19.088478, 12.278919), (93.7626, 191.13107), (128.78076, 208.43764), (51.903248, 299.98608), (135.17049, 334.68597), (145.53166, 179.77222), (340.98038, 257.6076)]","(113.32450144444445, 218.97775322222222)"
2024,"[(18.205, 237.04117), (86.8293, 250.31598), (19.029762, 12.090571), (93.81538, 191.23508), (128.7658, 208.30707), (51.937485, 299.9268), (135.09311, 334.68817), (145.9693, 179.66617), (340.93237, 257.53955)]","(113.39750077777778, 218.9789512222222)"
2025,"[(18.3162, 237.1316), (87.739296, 251.30862), (18.965113, 11.840867), (93.865005, 191.38701), (128.48856, 207.76076), (51.736004, 299.79523), (134.97899, 334.64313), (146.15114, 179.55423), (340.95197, 257.71356)]","(113.46580866666666, 219.01500077777777)"
2026,"[(18.353922, 237.14845), (88.2754, 251.96254), (18.930805, 11.704133), (93.92554, 191.5128), (128.12486, 206.76219), (51.517982, 299.65137), (134.96147, 334.7324), (146.43042, 179.86494), (341.011, 257.95325)]","(113.50348877777778, 219.03245255555555)"
2027,"[(18.377352, 237.16197), (88.51363, 252.30472), (19.008844, 11.720187), (94.27149, 192.00574), (128.06377, 206.28197), (51.22976, 299.4962), (134.93048, 334.76663), (146.45764, 180.321), (340.92896, 257.91885)]","(113.53132511111113, 219.10858522222222)"
2028,"[(18.289736, 237.09734), (88.44271, 252.311), (19.044128, 11.6799755), (94.366905, 192.16464), (128.08118, 205.73595), (50.59864, 299.05502), (134.87997, 334.78226), (146.42111, 180.21402), (340.8689, 257.84952)]","(113.44369766666667, 218.98774727777777)"
2029,"[(18.304506, 237.13649), (88.868866, 252.77983), (19.023699, 11.564724), (94.43916, 192.29298), (128.2641, 205.51448), (50.66834, 299.19424), (134.84314, 334.7771), (147.2788, 179.94858), (340.79623, 257.69418)]","(113.60964899999999, 218.98917822222222)"
2030,"[(18.404194, 237.27081), (89.1898, 253.01054), (19.188988, 11.68707), (94.41571, 192.26959), (128.40196, 205.15855), (50.592854, 299.1949), (135.01997, 334.89752), (147.84235, 180.51776), (340.69742, 257.53873)]","(113.75036066666667, 219.0606077777778)"
2031,"[(18.45754, 237.31313), (89.67487, 253.2681), (19.206194, 11.652592), (94.46343, 192.30339), (128.78308, 205.15305), (50.59226, 299.28244), (135.02118, 334.9812), (147.89833, 179.98483), (340.64786, 257.19357)]","(113.8605271111111, 219.01470022222222)"
2032,"[(18.584122, 237.41158), (90.19617, 253.51352), (19.169313, 11.53586), (94.76453, 192.57121), (129.20383, 205.29959), (50.51684, 299.3304), (134.94708, 335.01312), (147.50334, 179.66638), (340.64413, 256.91876)]","(113.94770611111113, 219.02893555555556)"
2033,"[(18.6438, 237.40883), (91.108604, 254.21472), (19.165718, 11.515739), (95.01547, 192.71577), (129.48463, 205.22136), (50.657513, 299.50113), (134.95372, 335.11432), (147.32982, 178.9872), (340.57336, 256.6175)]","(114.10362611111113, 219.03295211111114)"
2034,"[(18.59172, 237.27744), (91.67328, 254.40483), (19.082909, 11.357343), (95.29186, 192.83733), (129.78561, 205.33623), (50.64159, 299.63852), (134.92642, 335.17044), (147.26553, 178.54521), (340.6751, 256.89236)]","(114.21489100000001, 219.0510781111111)"
2035,"[(18.547112, 237.1953), (92.10384, 254.56331), (19.036352, 11.268956), (95.583984, 192.91922), (129.88362, 205.37575), (50.62048, 299.74908), (134.88535, 335.25656), (146.41869, 177.4892), (340.92413, 257.496)]","(114.22261755555554, 219.03481955555557)"
2036,"[(18.553621, 237.19493), (92.19271, 254.45113), (19.02403, 11.235868), (95.78409, 192.87895), (129.9395, 205.51013), (50.564945, 299.82108), (134.76476, 335.32446), (146.11794, 175.51231), (341.1583, 258.27777)]","(114.23332177777777, 218.91184755555557)"
2037,"[(18.587503, 237.20079), (92.14156, 254.3474), (19.071436, 11.309453), (96.12854, 192.83882), (130.00214, 205.6022), (50.513935, 299.8867), (134.6738, 335.47485), (146.51846, 175.05266), (341.23746, 258.83484)]","(114.31942599999999, 218.9497458888889)"
2038,"[(18.5861, 237.207), (92.01881, 254.15587), (19.047922, 11.289851), (96.22817, 192.47955), (129.8275, 205.4124), (50.555695, 299.96866), (134.59857, 335.54944), (146.78668, 175.09906), (341.1446, 259.03607)]","(114.31044966666667, 218.91087788888888)"
2039,"[(18.548267, 237.16866), (91.9737, 254.01537), (19.14487, 11.450091), (96.71528, 192.55272), (129.63339, 205.20822), (50.47754, 299.92468), (134.48697, 335.5279), (147.5516, 175.89896), (341.13623, 259.20294)]","(114.40753855555555, 218.99439344444443)"
2040,"[(18.687063, 237.36407), (92.02891, 253.77617), (19.180696, 11.547549), (97.167984, 192.81592), (129.50291, 205.131), (50.097702, 299.66138), (134.5029, 335.57135), (147.84016, 176.28432), (341.0415, 259.0199)]","(114.44998055555556, 219.0190732222222)"
2041,"[(18.749746, 237.49638), (92.334785, 253.63525), (19.155392, 11.593119), (97.57936, 192.88547), (129.44637, 205.14638), (50.747604, 300.0618), (134.46317, 335.61203), (147.81363, 176.72868), (341.2119, 259.30206)]","(114.61132855555554, 219.1623521111111)"
2042,"[(18.78788, 237.526), (92.8091, 253.39717), (19.188765, 11.711931), (97.94743, 192.8486), (129.41122, 205.28987), (50.96015, 300.00803), (134.4214, 335.65012), (148.5228, 178.39565), (341.3954, 259.4674)]","(114.82712722222222, 219.36608566666666)"
2043,"[(18.826017, 237.57167), (92.96525, 253.32097), (19.23175, 11.780644), (98.32822, 192.99008), (129.40324, 205.40889), (51.482105, 300.05252), (134.44447, 335.7377), (150.30641, 181.55853), (341.49463, 259.44983)]","(115.16467688888889, 219.763426)"
2044,"[(18.780476, 237.55138), (92.66662, 253.30086), (19.21265, 11.810504), (98.74109, 193.34242), (129.28555, 205.34424), (51.898094, 299.94427), (134.39752, 335.741), (150.61636, 183.65462), (341.65973, 259.67227)]","(115.2508988888889, 220.0401737777778)"
2045,"[(18.715252, 237.46402), (92.76774, 253.36354), (19.223183, 11.944328), (98.69575, 193.17815), (129.51723, 205.53096), (52.37762, 299.96414), (134.33578, 335.7059), (151.87909, 186.81606), (341.5903, 259.24338)]","(115.45577166666668, 220.35671977777778)"
2046,"[(18.44697, 237.16321), (92.66479, 253.34676), (19.168898, 12.022019), (98.420784, 192.87973), (129.81851, 205.82367), (52.868763, 299.8887), (134.29564, 335.6478), (152.76447, 188.95975), (341.72516, 259.5188)]","(115.57488722222222, 220.5833821111111)"
2047,"[(18.2838, 237.04462), (91.440384, 252.46771), (19.197252, 12.153868), (98.38719, 193.08328), (129.99135, 205.96849), (53.315548, 299.82013), (134.24977, 335.61127), (153.31592, 190.44446), (341.76328, 259.4193)]","(115.5493882222222, 220.6681253333333)"
2048,"[(18.197126, 236.93903), (90.749626, 252.0333), (19.185173, 12.1690445), (98.647385, 193.6495), (129.90578, 205.79375), (53.93921, 299.86685), (134.2597, 335.6219), (153.10983, 191.39273), (341.86023, 259.48248)]","(115.53934000000001, 220.77206494444448)"
2049,"[(17.986174, 236.60089), (90.783005, 251.76921), (19.150707, 12.087585), (99.09939, 194.57642), (129.68756, 205.50128), (54.505466, 299.9842), (134.25534, 335.64407), (152.55994, 191.5091), (342.1211, 259.8236)]","(115.57207577777778, 220.83292833333334)"
2050,"[(17.976347, 236.4135), (91.55524, 252.10677), (19.14421, 12.085663), (99.341, 195.10565), (129.88803, 205.90125), (54.834198, 299.98038), (134.23347, 335.68503), (152.22556, 191.82764), (342.3723, 260.16513)]","(115.73003944444443, 221.03011255555555)"
2051,"[(18.031668, 236.22394), (92.575096, 252.47736), (19.185982, 12.18847), (99.56439, 195.64705), (129.98161, 206.03581), (55.044994, 299.87595), (134.25075, 335.7435), (151.33495, 192.3594), (342.60605, 260.29178)]","(115.84172111111113, 221.20480666666668)"
2052,"[(18.32597, 236.05603), (92.69478, 252.123), (19.209536, 12.291732), (100.00088, 196.38365), (130.00652, 206.04959), (54.999336, 299.62054), (134.20636, 335.78592), (150.12358, 193.11597), (342.72543, 260.10123)]","(115.81026577777776, 221.28085133333335)"
2053,"[(18.278765, 235.68343), (93.074715, 251.7375), (19.385805, 12.639977), (100.67608, 197.44302), (130.2336, 206.36961), (55.002357, 299.52045), (134.26791, 335.92892), (149.29352, 194.73451), (342.88196, 259.91205)]","(115.89941244444442, 221.55216299999998)"
2054,"[(18.465397, 235.17102), (92.42587, 250.36404), (19.392271, 12.74814), (100.81436, 197.91393), (130.19623, 206.47156), (55.007854, 299.34097), (134.20432, 336.06442), (149.5344, 195.22763), (342.98846, 259.5959)]","(115.89212911111112, 221.43306777777778)"
2055,"[(18.642647, 234.85254), (92.329605, 249.65558), (19.319908, 12.788671), (101.614876, 199.42079), (130.30554, 206.64188), (55.06231, 299.30173), (134.02272, 336.08502), (148.7409, 197.18556), (343.07477, 259.29956)]","(115.90147511111111, 221.6923701111111)"
2056,"[(18.465746, 234.38486), (92.64767, 249.42787), (19.217745, 12.706155), (101.662926, 199.77695), (130.35704, 206.63966), (54.963345, 299.16412), (133.82434, 336.11255), (148.35904, 198.74661), (343.18976, 258.885)]","(115.85417911111111, 221.76041944444444)"
2057,"[(18.795399, 234.2419), (93.00088, 249.22838), (19.229593, 12.756325), (101.149635, 199.57533), (130.29971, 206.55869), (55.058952, 299.2163), (133.64783, 336.20288), (150.81387, 201.79243), (343.53827, 258.9878)]","(116.17045988888887, 222.0622261111111)"
2058,"[(19.08389, 233.86906), (93.08413, 248.95776), (19.31742, 12.87463), (100.75938, 199.63312), (130.27937, 206.37933), (55.12639, 299.22662), (133.61334, 336.26904), (150.96379, 203.49963), (343.795, 258.83176)]","(116.22474555555556, 222.1712166666667)"
2059,"[(19.855747, 233.53023), (93.20722, 248.98758), (19.356894, 12.934807), (100.20132, 199.59157), (130.39484, 206.26259), (55.129486, 299.2214), (133.5826, 336.24402), (151.22523, 204.45284), (344.10437, 258.62234)]","(116.33974522222222, 222.20526411111112)"
2060,"[(20.474482, 234.10951), (93.08448, 248.58334), (19.30689, 12.851995), (100.017105, 199.54807), (130.10875, 205.80629), (55.131382, 299.18344), (133.34496, 336.02402), (152.35995, 204.35878), (344.37546, 258.4174)]","(116.46705099999998, 222.0980938888889)"
2061,"[(20.666391, 234.22806), (93.08308, 248.1671), (19.297367, 12.844699), (100.0077, 199.51971), (130.25414, 205.80312), (55.154564, 299.19406), (133.32152, 335.9152), (152.92433, 203.87201), (344.7783, 258.49966)]","(116.60971022222222, 222.00484655555556)"
2062,"[(20.836695, 234.33856), (93.1227, 247.8871), (19.339304, 12.875815), (100.460526, 199.81705), (130.07404, 206.25964), (55.102715, 299.1134), (133.3186, 335.7567), (152.52348, 204.54742), (345.07117, 258.40698)]","(116.64991444444445, 222.1114072222222)"
2063,"[(21.158722, 234.51218), (93.14248, 247.58829), (19.378914, 12.948032), (101.49524, 200.6493), (130.20396, 206.48589), (55.072155, 299.12445), (133.31056, 335.27426), (151.19315, 205.63286), (345.26227, 258.38818)]","(116.69082788888889, 222.28927133333332)"
2064,"[(20.793911, 233.89645), (93.04182, 247.3614), (19.397886, 12.992224), (102.5515, 201.25711), (130.34113, 206.56493), (54.941353, 299.088), (133.40868, 334.7607), (150.00368, 205.70796), (345.41815, 258.48587)]","(116.65534555555557, 222.23496044444445)"
2065,"[(20.82027, 233.7053), (93.20363, 247.48842), (19.38557, 13.002045), (103.51405, 201.83376), (130.20204, 206.4233), (54.897804, 299.14084), (133.47134, 334.35468), (149.46202, 206.02272), (345.52783, 258.56903)]","(116.72050599999999, 222.28223277777775)"
2066,"[(20.662407, 233.41293), (93.4187, 247.76503), (19.412167, 13.014631), (104.48233, 202.41335), (130.09418, 206.10068), (54.887867, 299.1751), (133.51352, 334.12454), (149.53581, 205.30412), (345.64975, 258.51358)]","(116.85074788888889, 222.20266233333334)"
2067,"[(20.72664, 233.39357), (94.11781, 248.79079), (19.38374, 12.945525), (105.806206, 202.77794), (130.3378, 205.74448), (54.94428, 299.3795), (133.04936, 334.4744), (149.58464, 205.89789), (345.71927, 258.4676)]","(117.07441622222223, 222.43018833333335)"
2068,"[(20.919262, 233.44838), (93.807304, 248.96376), (19.34445, 12.925572), (106.88479, 203.85378), (130.35056, 205.33115), (54.746544, 299.37054), (132.59137, 334.96725), (150.17041, 204.81406), (345.77728, 258.28128)]","(117.17688555555554, 222.4395302222222)"
2069,"[(20.97185, 233.52007), (93.751274, 249.69725), (19.378304, 12.996143), (107.86827, 204.4314), (130.84557, 205.76768), (54.556404, 299.28238), (132.34152, 335.25992), (150.28136, 204.03305), (345.7531, 258.12714)]","(117.30529466666667, 222.568337)"
2070,"[(21.090036, 233.70424), (93.61323, 250.16528), (19.297981, 12.965503), (108.82055, 204.27786), (130.57587, 205.78227), (54.34599, 299.0875), (132.68382, 335.61627), (149.79013, 203.086), (345.7165, 258.0048)]","(117.3260118888889, 222.52108033333332)"
2071,"[(21.130653, 233.6758), (93.36325, 250.86772), (19.319502, 12.976288), (109.296906, 204.09343), (130.17293, 205.15933), (54.198925, 298.65643), (133.09894, 335.67136), (149.61847, 202.77986), (345.75485, 257.82397)]","(117.32826955555555, 222.41157644444445)"
2072,"[(21.26668, 233.77336), (93.85084, 252.38016), (19.374266, 13.040992), (109.91861, 203.86383), (130.65886, 204.40999), (54.863228, 298.94778), (133.77142, 335.68405), (149.41716, 202.80032), (345.74557, 257.4318)]","(117.65184822222221, 222.4813646666667)"
2073,"[(21.567915, 234.11342), (94.45734, 253.71625), (19.375616, 13.095853), (110.03328, 203.57532), (130.41873, 203.50243), (55.341568, 299.09045), (134.44206, 335.5482), (149.26364, 202.6115), (345.7004, 256.84372)]","(117.84450544444445, 222.4552381111111)"
2074,"[(22.63765, 235.16055), (94.95195, 254.71542), (19.349834, 13.094328), (110.085655, 203.42082), (129.8654, 203.09581), (56.480534, 299.6803), (135.21432, 335.42975), (148.6923, 201.75201), (345.7938, 256.3487)]","(118.1190492222222, 222.52196533333333)"
2075,"[(22.831606, 235.4174), (95.36287, 255.28346), (19.335405, 13.144523), (110.5191, 203.48668), (129.0981, 201.95393), (57.36541, 300.15292), (135.98656, 334.96417), (148.42407, 201.53593), (345.82306, 255.87508)]","(118.30513122222222, 222.4237881111111)"
2076,"[(22.705606, 235.36826), (95.753105, 255.54297), (19.219038, 13.030917), (110.8689, 203.08575), (129.0168, 200.20769), (57.564766, 300.19638), (136.51268, 334.50903), (148.44946, 201.50618), (345.81918, 255.56429)]","(118.43439277777777, 222.11238522222223)"
2077,"[(22.306984, 235.14253), (96.17164, 255.80423), (19.197186, 13.020768), (111.192024, 202.98648), (128.7299, 199.15666), (57.80427, 300.3692), (136.94472, 334.1355), (148.70728, 201.5495), (345.85873, 255.42528)]","(118.54585933333331, 221.95446088888886)"
2078,"[(21.922901, 234.99474), (96.118355, 255.76392), (19.165714, 12.993467), (111.549835, 203.60237), (128.51004, 199.0852), (58.019855, 300.6314), (137.09169, 333.2982), (148.95074, 201.11613), (345.81787, 255.42429)]","(118.57188888888888, 221.87885744444444)"
2079,"[(21.752264, 234.9233), (95.79767, 255.47478), (19.209389, 13.037961), (111.84851, 203.79663), (129.08151, 200.1014), (57.77342, 300.4584), (137.104, 332.46838), (150.04997, 201.60617), (345.7532, 255.57672)]","(118.70777033333333, 221.93819344444444)"
2080,"[(21.590294, 234.79646), (95.46572, 255.27628), (19.157644, 12.977605), (111.75526, 204.06854), (130.41167, 200.97914), (57.661892, 300.38525), (137.14249, 331.73636), (150.48874, 201.75511), (345.66614, 255.65805)]","(118.8155388888889, 221.95919944444444)"
2081,"[(21.684273, 234.84067), (95.18854, 255.15419), (19.22414, 13.068836), (111.65479, 204.23952), (131.1647, 201.49832), (57.623543, 300.37955), (138.16245, 331.94547), (150.63002, 202.35733), (345.61917, 255.80624)]","(118.99462511111112, 222.14334733333337)"
2082,"[(22.124302, 235.06735), (95.253494, 255.23361), (19.243492, 13.077936), (111.64353, 204.25102), (131.35768, 202.06291), (57.334316, 300.1691), (139.29292, 332.32367), (151.05731, 201.82866), (345.6307, 255.96103)]","(119.2153048888889, 222.2194762222222)"
2083,"[(22.453352, 235.2186), (94.78804, 255.06877), (19.285551, 13.13042), (111.53165, 204.15982), (132.41782, 202.13177), (57.25689, 300.08224), (140.38773, 332.79843), (151.32664, 202.11725), (345.60397, 256.11163)]","(119.45018255555556, 222.31321444444444)"
2084,"[(22.890928, 235.47693), (94.40955, 255.06458), (19.140953, 12.942471), (111.30835, 204.08173), (133.13895, 201.85776), (57.427444, 300.3025), (142.2867, 333.45193), (151.35672, 202.31036), (345.57315, 256.23294)]","(119.72586055555556, 222.41346677777776)"
2085,"[(23.191916, 235.73148), (94.164925, 255.47858), (19.109465, 12.901766), (111.10698, 204.02766), (132.37508, 202.7188), (57.471016, 300.39355), (143.44055, 333.47327), (151.16127, 202.7141), (345.5589, 256.30713)]","(119.73112244444444, 222.63848177777774)"
2086,"[(23.545052, 236.05045), (95.03658, 256.81912), (19.120327, 12.91209), (110.8469, 203.97816), (134.0574, 203.86328), (57.293335, 300.2533), (143.99846, 333.37747), (151.55719, 203.85938), (345.53027, 256.3185)]","(120.10950155555555, 223.0479722222222)"
2087,"[(23.75818, 236.24371), (95.86661, 257.90488), (19.11978, 12.894766), (110.73701, 204.06635), (134.71535, 203.95892), (57.589558, 300.49313), (144.16116, 333.1608), (152.00053, 205.51035), (345.50906, 256.2566)]","(120.38413755555555, 223.3877228888889)"
