frameIndex,transformed_coordinates
5094,"[(175, 92), (385, 121), (25, 155)]"
16663,"[(128, 159), (315, 251), (164, 230)]"
21338,"[(171, 226), (144, 173), (336, 194)]"
38741,"[(103, 140), (366, 143), (210, 120)]"
46993,"[(180, 158), (168, 228), (342, 254)]"
73606,"[(385, 99), (172, 90), (100, 133)]"
